user_id	item_name	l1_category	leaf_category	label
87	Blood Pressure Monitor	Health	Medical Device	0
86	Hair Straightener	Home Appliance	Hair Care	1
50	Thermal Gloves	Apparel	Accessory	1
42	Ankle Boots	Footwear	Women Boots	0
69	Nail Polish Set	Beauty	Nail	1
61	Sleeping Bag	Sports	Camping	1
80	Compression Socks	Health	Wellness	1
63	Enamel Pin Set	Hobby	Collectible	1
14	Ankle Boots	Footwear	Women Boots	0
45	Bread Pan	Kitchenware	Bakeware	0
87	Coffee Scale	Kitchenware	Tools	1
89	Standing Desk	Furniture	Desk	1
73	Coffee Beans	Grocery	Coffee	1
83	Ceramic Mug	Kitchenware	Drinkware	1
82	Manga Volume	Books	Comics	0
47	Car Vacuum	Auto	Car Accessory	0
15	Leather Gloves	Apparel	Accessory	1
28	Cat Tree	Pet	Cat Furniture	0
97	Trekking Poles	Sports	Hiking	0
38	Snow Shovel	Tools	Garden Tool	1
86	Diffuser	Home Appliance	Fragrance	1
55	Smart Bulb	Electronics	Lighting	1
12	Graphics Card	Electronics	PC Component	1
23	Floor Lamp	Home Appliance	Lighting	0
82	Pride Flag	Home Decor	Decor	0
13	Block Heels	Footwear	Women Heels	0
91	Picnic Blanket	Home Textile	Outdoor	1
88	Standing Desk	Furniture	Desk	0
23	Smart Watch	Electronics	Wearable	1
23	SD Card	Electronics	Storage	1
35	Idol Photocard	Hobby	Collectible	1
65	Fabric Bundle	Hobby	Handcraft	1
57	Wool Blanket	Home Textile	Bedding	1
72	Studio Headphones	Electronics	Audio	0
55	Plush Keychain	Toys	Plush	0
19	Chef Knife	Kitchenware	Cutlery	1
70	E-Reader	Electronics	Reading	1
33	Hair Dryer	Home Appliance	Hair Care	1
70	Wall Shelf	Furniture	Storage	0
92	Wireless Charger	Electronics	Charging	1
21	Smart Watch	Electronics	Wearable	1
80	Beanie Hat	Apparel	Accessory	0
48	Plushie Bag	Bags	Backpack	0
95	Bluetooth Speaker	Electronics	Audio	1
62	Cycling Jersey	Apparel	Sportswear	1
23	Star Chart	Books	Science	0
71	Dash Cam	Auto	Car Electronics	1
82	Bread Pan	Kitchenware	Bakeware	1
96	Protein Bar Box	Grocery	Snack	0
15	Dinner Plates	Kitchenware	Tableware	0
59	Enamel Pin Set	Hobby	Collectible	1
33	Snow Shovel	Tools	Garden Tool	0
20	Espresso Cups	Kitchenware	Drinkware	0
38	Photo Frame Set	Home Decor	Decor	0
44	Dried Flowers	Home Decor	Floral	0
31	Hair Straightener	Home Appliance	Hair Care	0
9	Garden Hose	Tools	Garden	0
11	Storage Basket	Home & Garden	Storage	0
84	Plush Keychain	Toys	Plush	0
52	Blood Pressure Monitor	Health	Medical Device	0
79	Golf Balls	Sports	Golf	1
63	Cat Litter	Pet	Cat Supply	0
36	Energy Drink Pack	Grocery	Beverage	1
16	Coffee Scale	Kitchenware	Tools	1
77	Desk Lamp	Home Appliance	Lighting	0
67	Cat Litter	Pet	Cat Supply	0
78	Blood Pressure Monitor	Health	Medical Device	0
86	Nail Polish Set	Beauty	Nail	0
47	Skate Wheels	Sports	Skateboarding	0
6	Throw Pillow	Home Decor	Cushion	0
22	Plant Pots	Home & Garden	Gardening	0
14	Hair Dryer	Home Appliance	Hair Care	1
42	Spot Treatment	Beauty	Skincare	1
70	Washi Tape	Stationery	Stickers	0
64	Floor Lamp	Home Appliance	Lighting	0
62	Cat Food	Pet	Cat Supply	0
32	Audio Interface	Electronics	Audio	1
52	Makeup Brush Set	Beauty	Tools	1
80	Massage Gun	Health	Wellness	1
61	Ski Goggles	Sports	Winter Sports	1
97	Linen Shorts	Apparel	Women Bottom	1
59	Ceramic Vase	Home Decor	Decor	1
29	Puzzle 1000pc	Toys	Puzzle	0
51	Sleeping Bag	Sports	Camping	1
67	Camera Bag	Bags	Camera Bag	1
99	Crossbody Bag	Bags	Handbag	1
44	Beach Bag	Bags	Tote	0
65	Leather Belt	Apparel	Accessory	0
91	Chess Set	Hobby	Board Game	0
90	Mini Backpack	Bags	Backpack	1
55	Sports Bra	Apparel	Sportswear	0
49	Grill Tools Set	Kitchenware	Tools	1
62	Straw Hat	Apparel	Accessory	1
28	Clay Mask	Beauty	Skincare	1
6	Air Purifier	Home Appliance	Air Treatment	0
43	Neck Pillow	Home Textile	Travel	0
41	Scented Candle	Home Decor	Fragrance	0
3	Leather Handbag	Bags	Handbag	1
80	Power Drill	Tools	Power Tool	0
75	Diapers Pack	Mother & Baby	Diapers	1
