user_id	group_code_0	group_code_1	group_code_2	leaf_group_id	group_age_bucket	group_gender_id	group_city_id	group_l1_seq	group_leaf_seq
1	1	1	1	0	3	2	9	1,2,4,7,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,4,83,6,32,34,51,52,2,91,31,110,125,133,0,0,0,0,0,0
2	0	0	1	1	4	1	2	5,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,9,10,67,69,99,7,115,58,0,0,0,0,0,0,0,0,0,0,0
3	1	1	0	2	3	2	12	3,9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	60,37,39,85,120,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4	2	2	1	3	4	1	4	4,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,16,54,56,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5	1	2	0	4	3	2	5	8,15,13,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	18,19,28,29,66,88,55,0,0,0,0,0,0,0,0,0,0,0,0,0
6	0	1	0	5	5	1	6	9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	21,22,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7	1	0	2	6	2	2	11	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	24,48,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8	0	2	0	7	4	1	8	13,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9	1	2	0	4	3	2	5	8,15,13,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	18,19,28,29,66,88,55,0,0,0,0,0,0,0,0,0,0,0,0,0
10	0	2	1	8	5	1	10	18,13,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	46,43,30,44,50,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11	1	1	1	0	3	2	9	1,2,4,7,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,4,83,6,32,34,51,52,2,91,31,110,125,133,0,0,0,0,0,0
12	2	0	1	9	4	1	12	5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	36,35,113,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13	1	1	0	2	3	2	12	3,9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	60,37,39,85,120,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14	0	1	1	10	5	2	2	13,18,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	40,70,71,74,94,124,104,0,0,0,0,0,0,0,0,0,0,0,0,0
15	2	1	2	11	2	1	13	2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	61,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16	0	2	1	8	5	1	10	18,13,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	46,43,30,44,50,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17	2	1	1	12	3	1	5	1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,47,31,92,71,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18	1	0	1	13	2	2	7	12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	26,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19	0	2	1	8	5	1	10	18,13,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	46,43,30,44,50,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20	1	1	1	0	3	2	9	1,2,4,7,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,4,83,6,32,34,51,52,2,91,31,110,125,133,0,0,0,0,0,0
21	2	2	1	3	4	1	4	4,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,16,54,56,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22	1	2	2	14	5	2	11	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23	2	0	0	15	3	1	6	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,76,54,69,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24	1	1	0	2	3	2	12	3,9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	60,37,39,85,120,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25	2	1	2	11	2	1	13	2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	61,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26	1	2	1	16	3	2	14	19,21,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	63,101,116,118,46,55,78,130,0,0,0,0,0,0,0,0,0,0,0,0
27	2	2	2	17	5	1	15	4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	65,92,108,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28	1	2	0	4	3	2	5	8,15,13,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	18,19,28,29,66,88,55,0,0,0,0,0,0,0,0,0,0,0,0,0
29	0	0	1	1	4	1	2	5,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,9,10,67,69,99,7,115,58,0,0,0,0,0,0,0,0,0,0,0
30	0	1	1	10	5	2	2	13,18,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	40,70,71,74,94,124,104,0,0,0,0,0,0,0,0,0,0,0,0,0
31	2	1	1	12	3	1	5	1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,47,31,92,71,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32	0	0	2	18	2	3	2	5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33	0	1	1	10	5	2	2	13,18,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	40,70,71,74,94,124,104,0,0,0,0,0,0,0,0,0,0,0,0,0
34	2	0	0	15	3	1	6	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,76,54,69,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35	1	0	2	6	2	2	11	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	24,48,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36	0	2	2	19	5	1	6	18,16,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98,46,77,80,81,122,79,101,0,0,0,0,0,0,0,0,0,0,0,0
37	1	2	0	4	3	2	5	8,15,13,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	18,19,28,29,66,88,55,0,0,0,0,0,0,0,0,0,0,0,0,0
38	0	2	2	19	5	1	6	18,16,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98,46,77,80,81,122,79,101,0,0,0,0,0,0,0,0,0,0,0,0
39	1	1	1	0	3	2	9	1,2,4,7,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,4,83,6,32,34,51,52,2,91,31,110,125,133,0,0,0,0,0,0
40	1	1	1	0	3	2	9	1,2,4,7,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,4,83,6,32,34,51,52,2,91,31,110,125,133,0,0,0,0,0,0
41	0	1	2	20	5	1	11	3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	84,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42	1	1	0	2	3	2	12	3,9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	60,37,39,85,120,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43	2	1	2	11	2	1	13	2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	61,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44	1	2	0	4	3	2	5	8,15,13,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	18,19,28,29,66,88,55,0,0,0,0,0,0,0,0,0,0,0,0,0
45	0	1	0	5	5	1	6	9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	21,22,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46	1	1	1	0	3	2	9	1,2,4,7,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,4,83,6,32,34,51,52,2,91,31,110,125,133,0,0,0,0,0,0
47	1	0	1	13	2	2	7	12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	26,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48	2	2	2	17	5	1	15	4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	65,92,108,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49	0	1	1	10	5	2	2	13,18,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	40,70,71,74,94,124,104,0,0,0,0,0,0,0,0,0,0,0,0,0
50	1	1	1	0	3	2	9	1,2,4,7,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,4,83,6,32,34,51,52,2,91,31,110,125,133,0,0,0,0,0,0
51	2	2	1	3	4	1	4	4,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15,16,54,56,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52	1	1	2	21	3	2	4	3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	96,107,60,98,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53	0	2	1	8	5	1	10	18,13,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	46,43,30,44,50,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54	1	1	2	21	3	2	4	3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	96,107,60,98,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55	0	0	1	1	4	1	2	5,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,9,10,67,69,99,7,115,58,0,0,0,0,0,0,0,0,0,0,0
56	0	0	0	22	4	1	8	5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	100,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57	1	2	1	16	3	2	14	19,21,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	63,101,116,118,46,55,78,130,0,0,0,0,0,0,0,0,0,0,0,0
58	0	0	2	18	2	3	2	5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	58,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59	1	0	2	6	2	2	11	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	24,48,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60	0	2	1	8	5	1	10	18,13,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	46,43,30,44,50,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61	2	1	1	12	3	1	5	1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,47,31,92,71,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62	1	1	2	21	3	2	4	3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	96,107,60,98,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63	2	2	2	17	5	1	15	4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	65,92,108,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64	1	1	1	0	3	2	9	1,2,4,7,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5,4,83,6,32,34,51,52,2,91,31,110,125,133,0,0,0,0,0,0
65	1	0	2	6	2	2	11	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	24,48,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66	2	1	1	12	3	1	5	1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,47,31,92,71,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67	1	0	2	6	2	2	11	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	24,48,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68	0	0	1	1	4	1	2	5,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,9,10,67,69,99,7,115,58,0,0,0,0,0,0,0,0,0,0,0
69	1	1	2	21	3	2	4	3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	96,107,60,98,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70	2	0	1	9	4	1	12	5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	36,35,113,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71	0	0	1	1	4	1	2	5,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8,9,10,67,69,99,7,115,58,0,0,0,0,0,0,0,0,0,0,0
72	1	2	1	16	3	2	14	19,21,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	63,101,116,118,46,55,78,130,0,0,0,0,0,0,0,0,0,0,0,0
73	2	2	0	23	2	1	7	14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
