user_id	label	item_id	item_l1	item_leaf	age_bucket	gender_id	city_id	is_low_activity	purchase_count	click_count	active_days	user_l1_seq	user_leaf_seq
87	0	23	9	22	3	1	3	0	1	3	3	18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86	1	90	13	66	4	2	2	0	2	4	5	21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	55,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50	1	148	1	31	0	2	2	1	1	3	4	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42	0	66	2	51	3	2	12	0	1	3	3	3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69	1	159	3	96	3	2	3	0	2	4	5	3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	60,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61	1	158	4	15	4	4	13	1	1	3	4	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80	1	139	9	90	5	4	14	1	1	2	3	9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63	1	124	11	24	5	1	15	1	1	2	3	11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14	0	66	2	51	5	2	2	1	2	2	4	13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45	0	236	18	124	5	1	15	1	1	2	3	9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87	1	263	18	98	3	1	3	0	1	3	3	18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89	1	11	6	10	2	1	5	0	2	4	5	5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73	1	29	14	27	2	1	7	0	1	3	3	14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83	1	250	18	94	3	2	17	0	1	3	3	19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82	0	205	22	112	4	1	16	1	1	3	4	18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47	0	217	23	114	4	3	17	0	1	3	3	12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15	1	154	1	31	2	1	3	0	1	3	3	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
