user_id	age	gender	city	click_seq	purchase_seq	search_seq
1	27	female	Shanghai	2026-05-30 09:12,Floral Summer Dress,Apparel,Women Dress;2026-05-29 21:03,Strappy Sandals,Footwear,Women Sandals;2026-05-28 14:20,Sunscreen SPF50,Beauty,Sun Care;2026-05-12 10:05,Linen Blouse,Apparel,Women Top;2026-03-18 19:40,Yoga Mat,Sports,Fitness Gear	2026-05-30 09:40,Floral Summer Dress,Apparel,Women Dress,0.52;2026-05-13 11:22,Linen Blouse,Apparel,Women Top,0.39;2026-02-20 16:10,Running Shoes,Footwear,Women Sneakers,0.18	2026-05-30 09:00,summer dress;2026-05-29 20:55,beach sandals;2026-05-27 08:30,spf sunscreen
2	34	male	Beijing	2026-05-29 08:01,Mechanical Keyboard,Electronics,PC Accessory;2026-05-28 22:15,4K Monitor,Electronics,Display;2026-05-27 12:48,USB-C Hub,Electronics,PC Accessory;2026-04-22 18:30,Office Chair,Furniture,Seating;2026-01-15 09:10,Standing Desk,Furniture,Desk	2026-05-28 22:40,4K Monitor,Electronics,Display,0.65;2026-04-23 09:00,Office Chair,Furniture,Seating,0.88;2025-12-30 14:20,Standing Desk,Furniture,Desk,0.59	2026-05-29 07:50,mechanical keyboard;2026-05-28 21:30,4k monitor;2026-05-26 19:00,usb c hub
3	22	female	Hangzhou	2026-05-30 13:22,Korean Lip Tint,Beauty,Lip Makeup;2026-05-29 17:45,Cushion Foundation,Beauty,Face Makeup;2026-05-28 09:33,Mini Backpack,Bags,Backpack	2026-05-30 14:00,Korean Lip Tint,Beauty,Lip Makeup,0.65	2026-05-30 13:10,lip tint;2026-05-29 17:30,cushion foundation;2026-05-28 09:20,mini backpack
4	41	male	Shenzhen	2026-05-26 20:11,Fishing Rod,Sports,Fishing;2026-05-18 07:42,Camping Tent,Sports,Camping;2026-03-02 15:30,Hiking Boots,Footwear,Outdoor Boots	2026-05-19 08:00,Camping Tent,Sports,Camping,0.19;2026-03-03 10:15,Hiking Boots,Footwear,Outdoor Boots,0.49	2026-05-26 20:00,fishing rod;2026-05-17 21:10,camping tent
5	29	female	Guangzhou	2026-05-30 19:05,Baby Stroller,Mother & Baby,Stroller;2026-05-29 11:20,Diapers Pack,Mother & Baby,Diapers;2026-05-28 08:50,Baby Bottle,Mother & Baby,Feeding;2026-04-10 14:00,Maternity Dress,Apparel,Maternity	2026-05-29 11:45,Diapers Pack,Mother & Baby,Diapers,0.36;2026-05-28 09:10,Baby Bottle,Mother & Baby,Feeding,0.19	2026-05-30 18:50,baby stroller;2026-05-29 11:00,diapers;2026-05-28 08:40,baby bottle
6	55	male	Chengdu	2026-02-14 10:30,Reading Glasses,Health,Vision;2026-01-08 09:15,Blood Pressure Monitor,Health,Medical Device	2026-02-15 11:00,Reading Glasses,Health,Vision,0.25;2025-11-20 16:40,Blood Pressure Monitor,Health,Medical Device,0.9	2026-02-14 10:20,reading glasses
7	19	female	Wuhan	2026-05-30 23:10,Plush Keychain,Toys,Plush;2026-05-30 22:50,Idol Photocard,Hobby,Collectible;2026-05-29 20:30,Sticker Pack,Stationery,Stickers;2026-05-15 18:00,Notebook Set,Stationery,Notebook	2026-05-30 23:30,Idol Photocard,Hobby,Collectible,0.2	2026-05-30 23:00,plush keychain;2026-05-30 22:40,idol photocard;2026-05-29 20:20,sticker pack
8	38	male	Nanjing	2026-05-29 12:00,Espresso Machine,Home Appliance,Coffee;2026-05-24 09:30,Coffee Beans,Grocery,Coffee;2026-05-10 08:20,Milk Frother,Home Appliance,Coffee	2026-05-29 12:30,Espresso Machine,Home Appliance,Coffee,0.59;2026-05-24 10:00,Coffee Beans,Grocery,Coffee,0.59	2026-05-29 11:50,espresso machine;2026-05-24 09:20,coffee beans
9	31	female	Suzhou	2026-05-28 15:40,Cat Litter,Pet,Cat Supply;2026-05-27 19:20,Cat Food,Pet,Cat Supply;2026-05-12 10:10,Cat Tree,Pet,Cat Furniture	2026-05-27 19:45,Cat Food,Pet,Cat Supply,0.62;2026-05-13 11:00,Cat Tree,Pet,Cat Furniture,0.57	2026-05-28 15:30,cat litter;2026-05-27 19:10,cat food
10	45	male	Xian	2025-12-12 09:00,Power Drill,Tools,Power Tool	2025-12-13 10:00,Power Drill,Tools,Power Tool,0.45	2025-12-12 08:50,power drill
